,US S&P 500,EU Stoxx 600,Japan Nikkei 225,MSCI EM USD,US HY,EU HY,BCOM Energy,BCOM Industrial Metals,BCOM Gold,Dollar Index,US 10Y Bond,Germany Bund 10Y
2006-01-02,1826.29,449.37,20357.98,239.826,129.2152,99.9315,414.0502,134.3885,78.5,1060.21,622.131,715.768
2006-01-03,1856.29,452.05,20357.98,244.62599999999998,129.4319,100.0602,410.4813,135.2008,80.5575,1046.826,623.686,716.4119999999999
2006-01-04,1863.37,456.54,20674.01,249.317,129.6151,100.3518,404.6232,137.3217,81.0264,1035.497,624.466,720.2810000000001
2006-01-05,1863.41,454.95,20754.66,250.31799999999998,129.7995,100.5329,391.5917,136.715,79.8464,1038.747,624.466,720.6410000000001
2006-01-06,1881.25,457.93,20758.25,252.609,129.9412,100.62299999999999,398.2335,137.5239,81.8736,1032.567,623.295,721.5060000000001
2006-01-09,1888.13,458.82,20758.25,255.145,130.1398,100.8774,391.1125,138.7587,83.2805,1037.546,623.295,721.578
2006-01-10,1887.52,455.94,20374.3,254.155,130.123,100.8565,388.7834,139.5132,82.5525,1038.872,621.055,719.63
2006-01-11,1894.25,458.61,20676.6,255.563,130.1196,100.8828,387.3703,139.6574,83.22200000000001,1033.63,619.599,718.4780000000001
2006-01-12,1882.37,460.27,20779.71,256.967,130.0544,100.9265,382.45599999999996,140.0167,83.1017,1040.651,621.729,720.8489999999999
2006-01-13,1884.65,457.66,20792.04,256.758,130.1404,100.8479,380.5566,142.0264,84.2705,1033.4589999999998,624.352,720.921
2006-01-16,1884.65,458.68,20555.85,258.495,130.1404,100.8259,380.5566,142.0264,84.2705,1035.872,624.352,720.345
2006-01-17,1877.81,455.31,19971.98,255.08700000000002,130.0802,100.5115,396.3589,141.4048,83.8656,1040.0839999999998,624.937,721.425
2006-01-18,1870.63,451.4,19384.71,250.82,130.0479,100.7939,386.0152,142.8268,82.3809,1039.539,624.351,720.704
2006-01-19,1881.05,454.07,19833.4,255.858,130.1303,100.4941,392.7731,142.4954,84.5705,1037.609,622.693,715.875
2006-01-20,1846.58,451.33,19833.92,256.092,130.1959,100.9143,403.9708,141.0536,83.8206,1037.351,623.179,714.085
2006-01-23,1850.02,450.24,19409.31,255.37599999999998,129.9798,100.9079,391.4963,143.7738,84.5405,1023.2080000000001,623.471,713.086
2006-01-24,1854.49,449.23,19773.52,258.789,129.9785,100.9878,388.5379,145.1963,84.4505,1023.475,622.302,713.799
2006-01-25,1851.32,454.27,19776.19,261.51,130.02200000000002,101.0377,379.8427,148.3998,85.1254,1025.782,618.51,709.944
