,Mystery_Allocation
1/4/2021,100
1/5/2021,100.4111145
1/6/2021,100.9284222
1/7/2021,101.5076543
1/8/2021,101.9657631
1/11/2021,101.6204005
1/12/2021,101.7209962
1/13/2021,102.0774616
1/14/2021,102.4356148
1/15/2021,101.9875333
1/18/2021,102.1696483
1/19/2021,102.7727755
1/20/2021,103.4714613
1/21/2021,103.4340992
1/22/2021,102.8426511
1/25/2021,103.3190157
1/26/2021,102.7830383
1/27/2021,101.3690696
1/28/2021,101.3729244
1/29/2021,100.3338393
2/1/2021,101.333909
2/2/2021,102.3026812
2/3/2021,102.3072692
2/4/2021,102.3335367
2/5/2021,102.6272448
2/8/2021,103.148654
2/9/2021,103.3950815
2/10/2021,103.6916679
2/11/2021,104.0275159
2/12/2021,104.1844201
2/15/2021,104.2477822
2/16/2021,104.2657984
2/17/2021,104.1900421
2/18/2021,103.513239
2/19/2021,103.835196
2/22/2021,103.1211828
2/23/2021,103.0625856
2/24/2021,103.0469597
2/25/2021,102.114233
2/26/2021,101.25525
3/1/2021,102.6786466
3/2/2021,102.4372205
3/3/2021,102.1486379
3/4/2021,100.9210653
3/5/2021,101.2501387
3/8/2021,100.6106308
3/9/2021,101.4806352
3/10/2021,101.8584084
3/11/2021,103.0332603
3/12/2021,102.7894354
3/15/2021,103.0920516
3/16/2021,103.4557999
3/17/2021,103.3375787
3/18/2021,102.9324739
3/19/2021,102.5889832
3/22/2021,102.8930813
3/23/2021,102.2629084
3/24/2021,101.849203
3/25/2021,101.9025628
3/26/2021,102.9919485
3/29/2021,102.7075703
3/30/2021,102.7054933
3/31/2021,102.9130599
4/1/2021,104.0537488
4/2/2021,104.0668595
4/5/2021,104.6943611
4/6/2021,104.6649347
4/7/2021,104.513972
4/8/2021,104.9074378
4/9/2021,104.7217692
4/12/2021,104.4993993
4/13/2021,104.5398277
4/14/2021,104.7154743
4/15/2021,105.2301556
4/16/2021,105.4291682
4/19/2021,105.0372224
4/20/2021,104.6768539
4/21/2021,104.9531432
4/22/2021,104.7507622
4/23/2021,105.2754113
4/26/2021,105.5306351
4/27/2021,105.3514208
4/28/2021,105.3033511
4/29/2021,105.434799
